,Time
0,2007-06-16T14:33:03.673
1,2007-06-16T15:16:33.997
2,2007-06-16T21:40:37.454
3,2007-06-17T04:21:40.840
4,2007-06-17T04:35:47.899
5,2007-06-17T17:31:02.665
6,2007-06-17T17:54:57.478
7,2007-06-18T20:25:47.178
8,2007-06-19T23:55:49.339
9,2007-06-20T05:56:53.913
10,2007-06-20T19:33:55.534
11,2007-06-21T08:45:05.402
12,2007-06-21T15:44:52.436
13,2007-06-23T21:15:46.458
14,2007-06-23T21:46:01.584
15,2007-06-24T03:52:13.253
16,2007-06-24T04:37:10.012
17,2007-06-24T17:20:57.623
18,2007-06-25T07:22:32.701
19,2007-06-26T03:05:06.842
20,2007-06-27T05:51:47.322
21,2007-06-27T12:32:06.544000
22,2007-06-28T01:57:48.890000
23,2007-06-28T03:03:43.786000
24,2007-06-28T08:36:06.540000
25,2007-06-28T10:05:12.350000
26,2007-06-28T10:14:06.821000
27,2007-06-28T10:28:14.855000
28,2007-06-28T10:42:02.861000
29,2007-06-29T04:58:37.990000
30,2007-06-29T06:07:21.449000
31,2007-06-29T11:24:25.066
32,2007-06-29T18:12:15.075000
33,2007-06-29T19:50:47.043000
34,2007-06-30T14:20:18.727
35,2007-06-30T15:51:03.885000
36,2007-07-01T10:25:12.071000
37,2007-07-01T11:58:26.597000
38,2007-07-01T12:01:11.348000
39,2007-07-01T12:06:44.850000
40,2007-07-03T02:47:23.697
41,2007-07-03T09:38:30.645000
42,2007-07-03T11:03:04.981000
43,2007-07-03T16:16:13.995000
44,2007-07-03T17:59:17.932000
45,2007-07-03T22:53:09.435
46,2007-07-04T00:33:20.114000
47,2007-07-04T00:35:00.520000
48,2007-07-04T00:41:29.315
49,2007-07-04T01:02:44.558000
50,2007-07-04T05:41:25.733000
51,2007-07-04T05:45:14.796000
52,2007-07-04T07:45:59.021000
53,2007-07-04T07:51:30.036
54,2007-07-04T12:23:01.262000
55,2007-07-04T19:02:31.535000
56,2007-07-04T21:10:29.949000
57,2007-07-05T01:44:53.655000
58,2007-07-05T08:32:03.769000
59,2007-07-05T10:11:01.239000
60,2007-07-05T10:24:24.837000
61,2007-07-05T15:14:30.360000
62,2007-07-05T22:02:29.931000
63,2007-07-05T23:47:25.556000
64,2007-07-06T18:12:32.157000
65,2007-07-07T00:49:28.625000
66,2007-07-07T02:56:37.508000
67,2007-07-07T07:38:21.027000
68,2007-07-07T14:43:04.393
69,2007-07-07T21:04:58.199
70,2007-07-07T21:04:58.415000
71,2007-07-07T22:46:47.663000
72,2007-07-08T03:56:09.723000
73,2007-07-08T05:12:15.497000
74,2007-07-08T05:16:44.623000
75,2007-07-08T10:34:31.119000
76,2007-07-08T17:13:06.861000
77,2007-07-08T19:22:51.959000
78,2007-07-08T23:59:42.570000
79,2007-07-09T06:39:21.582000
80,2007-07-09T13:18:56.543000
81,2007-07-09T20:07:39.536000
82,2007-07-10T02:57:59.272000
83,2007-07-10T09:27:14.561000
84,2007-07-10T16:10:22.054000
85,2007-07-10T18:43:12.848000
86,2007-07-10T18:46:09.599000
87,2007-07-10T22:55:28.513000
88,2007-07-11T01:12:30.462000
89,2007-07-11T01:18:28.089000
90,2007-07-11T12:25:02.999000
91,2007-07-11T14:12:44.438000
92,2007-07-11T14:20:22.565000
93,2007-07-11T19:16:30.406000
94,2007-07-11T21:05:35.753000
95,2007-07-12T04:00:07.711000
96,2007-07-12T04:13:43.466000
97,2007-07-12T08:29:37.888000
98,2007-07-12T15:17:50.779000
99,2007-07-12T17:03:47.341000
100,2007-07-12T21:53:31.044
101,2007-07-13T11:31:32.442000
102,2007-07-13T18:05:37.094
103,2007-07-13T20:10:01.808000
104,2007-07-14T00:54:07.984000
105,2007-07-14T02:44:08.484000
106,2007-07-14T07:42:53.387000
107,2007-07-14T14:24:31.415000
108,2007-07-14T21:04:51.571000
109,2007-07-15T03:55:01.008000
110,2007-07-15T10:39:11.020
111,2007-07-15T17:21:30.783000
112,2007-07-15T23:56:55
113,2007-07-16T06:39:18.528000
114,2007-07-16T13:21:01.085000
115,2007-07-16T20:08:41.446000
116,2007-07-17T02:48:08.642000
117,2007-07-17T09:32:31.763000
118,2007-07-17T16:13:34.529000
119,2007-07-17T18:02:28.873000
120,2007-07-17T22:56:41.714000
121,2007-07-18T05:57:21.637000
122,2007-07-18T12:18:35.006
123,2007-07-18T18:58:20.600
124,2007-07-19T01:41:59.567
125,2007-07-19T08:28:42.380000
126,2007-07-19T15:12:51.587000
127,2007-07-19T21:55:14.138000
128,2007-07-20T04:38:08.413000
129,2007-07-20T11:32:46.863000
130,2007-07-20T18:05:58.008000
131,2007-07-20T20:49:39.245000
132,2007-07-21T00:50:16.320000
133,2007-07-21T07:29:18.943
134,2007-07-21T14:21:45.162
135,2007-07-21T20:57:55.912000
136,2007-07-22T03:38:49.411
137,2007-07-22T17:16:03.745
138,2007-07-22T19:40:59.063
139,2007-07-23T20:06:24.871000
140,2007-07-24T02:48:15.558
141,2007-07-24T09:23:41.848
142,2007-07-24T16:12:58.911000
143,2007-07-24T22:52:48.376000
144,2007-07-25T05:41:43.555000
145,2007-07-25T19:10:24.032000
146,2007-07-26T01:49:29.027
147,2007-07-26T08:30:50.770000
148,2007-07-26T10:59:16.282000
149,2007-07-26T11:02:21.189000
150,2007-07-26T15:13:28.163
151,2007-07-26T22:02:32.797000
152,2007-07-27T04:36:42.061000
153,2007-07-27T11:26:50.340000
154,2007-07-27T18:17:01.587000
155,2007-07-27T20:47:15.226000
156,2007-07-28T07:34:48.079000
157,2007-07-28T21:06:34.726000
158,2007-07-29T03:44:59.437000
159,2007-07-29T10:26:44.189000
160,2007-07-29T13:11:33.334000
161,2007-07-29T17:06:50.564
162,2007-07-29T23:55:35.211000
163,2007-07-30T02:34:38.036000
164,2007-07-30T06:35:34.514000
165,2007-07-30T13:16:29.675
166,2007-07-30T20:02:09.651
167,2007-07-31T02:43:04.393
168,2007-07-31T09:22:41.344
169,2007-07-31T16:15:58.975000
170,2007-07-31T19:21:21.998000
171,2007-07-31T23:03:05.846000
172,2007-08-01T02:12:01.771000
173,2007-08-01T05:41:00.180000
174,2007-08-01T12:25:26.015000
175,2007-08-01T15:27:07.885000
176,2007-08-01T15:38:34.982000
177,2007-08-01T19:01:04.825
178,2007-08-02T01:47:41.754000
179,2007-08-02T08:29:49.248000
180,2007-08-02T15:06:33.277
181,2007-08-03T04:33:33.925
182,2007-08-03T11:16:03.745
183,2007-08-03T18:04:47.159000
184,2007-08-04T00:52:02.527000
185,2007-08-04T03:55:36.674000
186,2007-08-04T07:30:16.362000
187,2007-08-04T10:40:08.323000
188,2007-08-04T14:14:56.947000
189,2007-08-04T20:54:27.226
190,2007-08-05T03:45:29.539000
191,2007-08-05T06:50:33.853
192,2007-08-05T20:36:00.762000
193,2007-08-06T00:03:58.883000
194,2007-08-06T06:34:01.487000
195,2007-08-06T10:05:23.553000
196,2007-08-07T09:27:09.173000
197,2007-08-07T12:33:19.944000
198,2007-08-07T16:14:35.196000
199,2007-08-07T19:34:25.880000
200,2007-08-07T22:52:50.027000
201,2007-08-08T02:12:57.559000
202,2007-08-08T05:40:00.586000
203,2007-08-08T12:22:54.309
204,2007-08-08T15:27:33.251000
205,2007-08-08T22:35:26.750000
206,2007-08-09T05:10:05.441000
207,2007-08-09T08:28:22.761
208,2007-08-09T15:11:27.154
209,2007-08-09T21:55:01.344000
210,2007-08-10T01:39:59.094000
211,2007-08-10T01:41:47.501000
212,2007-08-10T01:50:10.004000
213,2007-08-10T04:45:11.932000
214,2007-08-10T11:23:48.822000
215,2007-08-10T14:40:23.631000
216,2007-08-10T18:07:20.816
217,2007-08-10T21:43:33.726000
218,2007-08-11T00:52:55.967000
219,2007-08-11T04:22:53.691000
220,2007-08-11T07:31:28.595
221,2007-08-11T10:53:19.740000
222,2007-08-11T14:20:18.727
223,2007-08-11T20:59:55.678
224,2007-08-12T00:17:15.397000
225,2007-08-12T03:55:45.275000
226,2007-08-12T10:30:43.197000
227,2007-08-12T17:06:15.990
228,2007-08-12T23:48:15.282000
229,2007-08-13T03:31:45.882
230,2007-08-13T06:39:02.376
231,2007-08-13T13:14:20.024
232,2007-08-13T19:58:24.921
233,2007-08-14T02:49:06.727000
234,2007-08-14T09:32:53.631000
235,2007-08-14T16:12:15.440000
236,2007-08-14T19:46:18.871
237,2007-08-14T19:46:44.941000
238,2007-08-14T22:50:25.210
239,2007-08-15T05:39:17.783000
240,2007-08-15T09:14:19.066000
241,2007-08-15T12:23:04.997000
242,2007-08-15T16:09:51.805000
243,2007-08-15T18:57:37.382
244,2007-08-16T01:44:23.506
245,2007-08-16T05:35:47.899
246,2007-08-16T08:31:58.171000
247,2007-08-16T11:58:07.635
248,2007-08-16T11:58:28.543000
249,2007-08-16T15:18:21.539000
250,2007-08-16T21:57:38.853000
251,2007-08-17T04:42:47.106
252,2007-08-17T11:24:42.352
253,2007-08-18T00:55:19.087
254,2007-08-18T07:35:56.522000
255,2007-08-18T14:15:11.655000
256,2007-08-18T17:48:31.217000
257,2007-08-18T20:56:02.304
258,2007-08-19T00:55:31.190000
259,2007-08-19T03:40:19.328000
260,2007-08-19T10:30:32.412
261,2007-08-19T17:07:43.578000
262,2007-08-19T21:04:41.926000
263,2007-08-19T23:51:55.099000
264,2007-08-20T06:36:44.218000
265,2007-08-20T13:22:58.631
266,2007-08-20T19:57:02.459000
267,2007-08-20T23:57:41.247000
268,2007-08-21T02:43:44.328000
269,2007-08-21T06:34:24.023000
270,2007-08-21T09:30:17.262000
271,2007-08-21T13:23:21.486000
272,2007-08-21T16:11:29.249000
273,2007-08-21T22:54:27.226
274,2007-08-22T02:44:40.705000
275,2007-08-22T05:37:38.008000
276,2007-08-22T09:35:15.046000
277,2007-08-22T12:23:41.586000
278,2007-08-22T16:10:39.780000
279,2007-08-22T19:00:47.539
280,2007-08-23T01:48:05.851000
281,2007-08-23T15:15:07.126000
282,2007-08-23T21:55:32.052
283,2007-08-24T04:38:12.034000
284,2007-08-24T08:32:03.426000
285,2007-08-24T15:11:56.028000
286,2007-08-24T18:04:34.918000
287,2007-08-25T07:35:07.065000
288,2007-08-25T18:09:07.653000
289,2007-08-25T21:03:18.452000
290,2007-08-26T10:30:35.971000
291,2007-08-26T17:09:26.146
292,2007-08-26T23:51:55.966
293,2007-08-27T03:49:04.057000
294,2007-08-27T17:15:40.018000
295,2007-08-27T20:04:00.508000
296,2007-08-28T02:50:06.841000
297,2007-08-28T06:44:09.001000
298,2007-08-28T09:31:48.928000
299,2007-08-28T16:12:00.883000
300,2007-08-28T22:57:23.285000
301,2007-08-29T05:34:22.245000
302,2007-08-29T09:58:20.513000
303,2007-08-29T12:17:08.571
304,2007-08-29T19:02:03.423000
305,2007-08-29T23:02:51.686000
306,2007-08-30T01:49:20.384
307,2007-08-30T08:31:36.511000
308,2007-08-30T15:20:31.594000
309,2007-08-30T21:57:33.269000
310,2007-08-31T04:36:52.725
311,2007-08-31T08:50:38.560000
312,2007-08-31T11:25:33.946000
313,2007-08-31T15:41:22.178000
314,2007-08-31T18:11:37.069000
315,2007-09-01T00:58:55.801000
316,2007-09-01T05:02:01.280000
317,2007-09-01T07:38:05.197000
318,2007-09-01T11:44:04.242000
319,2007-09-01T14:21:32.913000
320,2007-09-01T18:21:48.235000
321,2007-09-01T21:05:30.313000
322,2007-09-02T03:45:34.299000
323,2007-09-02T07:58:49.187000
324,2007-09-02T10:25:16.926 
325,2007-09-02T14:31:17.148000
326,2007-09-02T17:13:41.128
327,2007-09-02T21:18:08.080000
328,2007-09-02T23:57:01.373000
329,2007-09-03T06:38:29.740000
330,2007-09-03T13:22:23.535000
331,2007-09-03T17:41:41.520000
332,2007-09-03T20:05:49.873000
333,2007-09-04T02:47:09.527000
334,2007-09-04T08:19:31.188
335,2007-09-04T09:33:55.013000
336,2007-09-04T13:57:14.718000
337,2007-09-04T16:18:22.541000
338,2007-09-04T20:48:13.492000
339,2007-09-04T22:57:22.218000
340,2007-09-05T05:41:51.184000
341,2007-09-05T12:23:25.356000
342,2007-09-05T16:47:50.587000
343,2007-09-05T19:11:39.129000
344,2007-09-05T23:57:10.021000
345,2007-09-06T01:52:22.767000
346,2007-09-06T06:08:33.875000
347,2007-09-06T08:30:56.424000
348,2007-09-06T15:16:38.162000
349,2007-09-06T19:29:11.518000
350,2007-09-06T22:06:03.685000
351,2007-09-07T04:36:39.759
352,2007-09-07T08:37:40.264
353,2007-09-07T11:22:54.309
354,2007-09-07T18:06:37.563000
355,2007-09-07T22:35:55.518000
356,2007-09-08T00:53:10.530000
357,2007-09-08T05:13:38.289000
358,2007-09-08T07:37:02.987000
359,2007-09-08T11:58:42.397000
360,2007-09-08T12:00:18.867000
361,2007-09-08T14:22:32.701
362,2007-09-08T21:08:12.677
363,2007-09-09T03:45:39.975
364,2007-09-09T08:15:55.102
365,2007-09-09T10:31:37.238
366,2007-09-09T14:56:23.913
367,2007-09-09T17:09:00.181000
368,2007-09-09T23:57:55.993000
369,2007-09-10T04:00:54.279000
370,2007-09-10T20:12:54.372000
371,2007-09-11T02:53:02.629000
