,Time
0,2007-05-01T15:24:33.709
1,2007-05-01T15:59:16.782
2,2007-05-01T22:09:07.418
3,2007-05-01T22:37:21.536
4,2007-05-02T04:47:32.340
5,2007-05-02T05:21:09.147
6,2007-05-02T11:21:24.993
7,2007-05-02T12:10:46.818
8,2007-05-02T18:17:18.655
9,2007-05-02T18:49:11.740
10,2007-05-03T00:33:42.569
11,2007-05-03T02:00:59.063
12,2007-05-03T08:24:48.115
13,2007-05-03T14:13:28.163
14,2007-05-03T15:08:16.998
15,2007-05-03T21:15:23.409
16,2007-05-03T21:57:20.096
17,2007-05-05T07:20:11.524
18,2007-05-05T13:33:33.925
19,2007-05-05T14:13:28.163
20,2007-05-05T20:18:13.397
21,2007-05-05T20:46:53.445
22,2007-05-06T03:31:54.525
23,2007-05-06T09:42:38.463
24,2007-05-06T10:11:53.085
25,2007-05-09T04:49:07.418
26,2007-05-09T05:25:42.857
27,2007-05-09T11:37:10.012
28,2007-05-09T12:08:51.572
29,2007-05-10T01:33:20.960
30,2007-05-10T08:19:31.188
31,2007-05-16T11:36:35.438
32,2007-05-16T12:05:58.703
33,2007-05-17T01:05:58.703
34,2007-05-17T01:30:02.160
35,2007-05-17T14:22:19.735
36,2007-05-17T21:03:57.695
37,2007-05-17T21:43:17.358
38,2007-05-18T03:59:03.817
39,2007-05-18T04:24:42.352
40,2007-05-19T20:44:00.576
41,2007-05-20T03:24:33.709
42,2007-05-20T10:14:28.667
43,2007-05-20T16:56:02.304
44,2007-05-20T23:49:03.097
45,2007-05-21T05:53:44.009
46,2007-05-21T06:21:40.840
47,2007-05-21T13:10:00.720
48,2007-05-21T19:45:39.975
49,2007-05-22T02:30:28.091
50,2007-05-22T08:40:46.098
51,2007-05-22T09:13:19.519
52,2007-05-22T16:00:38.895
53,2007-05-23T06:21:23.553
54,2007-05-23T12:10:35.294
55,2007-05-23T18:48:06.914
56,2007-05-24T01:02:31.260
57,2007-05-24T01:34:12.821
58,2007-05-24T08:18:04.753
59,2007-05-24T15:00:21.608
60,2007-05-24T21:46:36.158
61,2007-05-26T13:44:13.541
62,2007-05-26T13:59:21.104
63,2007-05-26T20:20:14.405
64,2007-05-26T20:41:16.350
65,2007-05-27T23:04:32.268
66,2007-05-27T23:38:32.124
67,2007-05-28T13:01:04.825
68,2007-05-28T19:14:37.310
69,2007-05-28T19:44:35.150
70,2007-05-29T02:27:17.935
71,2007-05-29T15:20:18.727
72,2007-05-29T15:57:54.669
73,2007-05-29T21:56:36.878
74,2007-05-29T22:41:50.924
75,2007-05-30T12:04:23.625
76,2007-05-30T18:48:45.810
77,2007-05-31T01:31:06.986
78,2007-05-31T08:18:39.327
79,2007-05-31T14:58:55.174
80,2007-05-31T21:38:49.411
81,2007-06-02T00:29:27.587
82,2007-06-02T13:27:35.222
83,2007-06-02T13:55:38.535
84,2007-06-03T10:12:12.533
85,2007-06-03T16:20:44.657
86,2007-06-03T16:48:32.845
87,2007-06-04T05:55:49.339
88,2007-06-04T06:18:52.292
89,2007-06-04T13:06:33.277
90,2007-06-04T19:15:29.171
91,2007-06-04T19:40:43.987
92,2007-06-05T02:34:32.268
93,2007-06-05T09:21:19.231
94,2007-06-05T16:01:15.630
95,2007-06-05T22:52:54.309
96,2007-06-06T05:24:44.513
97,2007-06-06T12:14:13.541
98,2007-06-06T18:43:21.680
99,2007-06-07T01:36:05.186
100,2007-06-07T08:15:39.975
101,2007-06-07T14:58:50.852
102,2007-06-09T00:29:21.104
103,2007-06-09T07:12:10.372
104,2007-06-09T13:26:13.109
105,2007-06-09T13:57:09.291
106,2007-06-09T20:42:13.973
107,2007-06-10T03:22:19.735
108,2007-06-10T09:45:14.045
109,2007-06-10T10:09:20.384
110,2007-06-10T16:21:32.196
111,2007-06-10T16:57:21.536
112,2007-06-10T23:29:46.314
113,2007-06-11T06:18:01.872
114,2007-06-11T12:38:49.411
115,2007-06-11T12:57:46.026
116,2007-06-11T19:41:07.707
117,2007-06-12T02:25:03.961
118,2007-06-12T09:08:25.642
119,2007-06-12T15:59:34.069
120,2007-06-12T22:40:37.454
121,2007-06-13T05:23:59.135
122,2007-06-13T18:46:05.906
123,2007-06-14T01:28:53.013
124,2007-06-14T08:15:07.563
125,2007-06-16T00:37:01.368
126,2007-06-16T07:11:09.867
127,2007-06-16T14:00:17.286
128,2007-06-16T20:44:13.541
129,2007-06-17T03:24:07.779
130,2007-06-17T10:07:46.746
131,2007-06-17T16:51:25.714
132,2007-06-17T23:37:57.551
133,2007-06-18T13:02:57.190
134,2007-06-18T19:55:32.052
135,2007-06-19T02:30:15.126
136,2007-06-19T09:13:02.232
137,2007-06-19T15:57:33.061
138,2007-06-19T19:45:09.723
139,2007-06-19T22:46:05.906
140,2007-06-20T05:20:48.979
141,2007-06-20T18:52:08.931
142,2007-06-21T08:10:13.685
143,2007-06-21T14:54:09.939
144,2007-06-21T21:38:06.194
145,2007-06-22T04:21:27.875
146,2007-06-23T20:53:44.009
147,2007-06-24T03:28:09.795
148,2007-06-24T16:57:46.026
149,2007-06-25T06:18:43.649
150,2007-06-25T19:43:43.289
151,2007-06-26T02:26:30.396
152,2007-06-26T22:46:23.193
153,2007-06-27T05:22:15.414
154,2007-06-27T12:02:44.225
155,2007-06-28T01:31:45.882
156,2007-06-28T08:14:32.989
157,2007-06-29T04:23:11.596
158,2007-06-29T11:03:23.121
159,2007-06-29T17:50:29.531
160,2007-06-30T13:57:24.417
161,2007-07-01T10:08:21.320
162,2007-07-02T12:58:55.174
163,2007-07-02T19:43:26.002
164,2007-07-03T02:29:40.552
165,2007-07-03T09:14:45.954
166,2007-07-03T15:51:47.322
167,2007-07-03T22:37:27.298
168,2007-07-04T05:23:07.274
169,2007-07-04T12:03:01.512
170,2007-07-04T18:46:57.767
171,2007-07-05T01:34:56.068
172,2007-07-05T08:21:45.162
173,2007-07-05T14:54:27.226
174,2007-07-05T21:41:50.924
175,2007-07-06T04:29:14.621
176,2007-07-06T11:08:34.285
177,2007-07-06T17:47:02.088
178,2007-07-07T00:31:32.917
179,2007-07-07T07:18:56.614
180,2007-07-07T13:57:24.417
181,2007-07-07T20:41:20.672
182,2007-07-08T03:29:18.943
183,2007-07-08T10:10:05.042
184,2007-07-08T16:49:24.705
185,2007-07-08T23:34:47.394
186,2007-07-09T06:24:29.387
187,2007-07-09T12:59:47.034
188,2007-07-09T19:44:17.863
189,2007-07-10T00:31:32.917
190,2007-07-10T02:26:47.683
191,2007-07-10T09:13:36.806
192,2007-07-10T15:50:03.601
193,2007-07-10T22:35:26.290
194,2007-07-11T05:25:08.283
195,2007-07-11T12:11:22.833
196,2007-07-11T18:46:57.767
197,2007-07-12T08:15:24.849
198,2007-07-12T14:54:44.513
199,2007-07-12T21:37:48.907
200,2007-07-13T04:21:45.162
201,2007-07-13T11:10:00.720
202,2007-07-13T17:47:02.088
203,2007-07-14T00:32:07.490
204,2007-07-14T07:17:47.466
205,2007-07-14T14:08:21.320
206,2007-07-15T03:31:02.665
207,2007-07-15T10:16:25.354
208,2007-07-15T16:57:28.739
209,2007-07-15T23:35:39.255
210,2007-07-16T06:21:01.944
211,2007-07-16T13:10:09.363
212,2007-07-16T19:43:26.002
213,2007-07-17T02:26:13.109
214,2007-07-17T09:11:53.085
215,2007-07-17T16:01:35.078
216,2007-07-17T22:32:33.421
217,2007-07-18T05:17:38.823
218,2007-07-18T18:50:07.923
219,2007-07-19T01:31:28.595
220,2007-07-19T08:13:41.128
221,2007-07-19T15:02:31.260
222,2007-07-19T21:37:48.907
223,2007-07-20T11:05:58.703
224,2007-07-20T17:52:13.253
225,2007-07-21T00:29:14.621
226,2007-07-21T07:16:38.319
227,2007-07-21T14:08:55.894
228,2007-07-21T20:45:22.689
229,2007-07-22T03:24:42.352
230,2007-07-22T10:06:37.599
231,2007-07-22T16:55:10.444
232,2007-07-23T13:06:24.633
233,2007-07-23T19:48:02.593
234,2007-07-24T02:28:31.404
235,2007-07-24T09:11:53.085
236,2007-07-24T15:56:58.487
237,2007-07-24T22:37:10.012
238,2007-07-25T05:18:13.397
239,2007-07-25T12:03:53.373
240,2007-07-25T18:52:43.505
241,2007-07-26T01:31:28.595
242,2007-07-26T08:11:57.406
243,2007-07-26T14:57:54.669
244,2007-07-26T21:39:32.629
245,2007-07-27T04:15:59.423
246,2007-07-27T11:03:05.834
247,2007-07-27T17:55:40.696
248,2007-07-28T00:32:07.490
249,2007-07-28T07:15:29.171
250,2007-07-28T14:00:51.860
251,2007-07-28T20:55:10.444
252,2007-07-29T03:25:51.500
253,2007-07-29T10:08:21.320
254,2007-07-29T16:54:35.870
255,2007-07-29T23:43:43.289
256,2007-07-30T06:18:43.649
257,2007-07-30T13:00:56.182
258,2007-07-30T19:48:54.453
259,2007-07-31T02:30:15.126
260,2007-07-31T09:09:00.216
261,2007-07-31T15:53:31.044
262,2007-07-31T22:46:57.767
263,2007-08-01T05:22:15.414
264,2007-08-01T12:04:27.947
265,2007-08-01T18:52:08.931
266,2007-08-02T01:36:39.759
267,2007-08-02T08:09:39.111
268,2007-08-02T14:53:52.653
269,2007-08-03T04:23:28.883
270,2007-08-03T11:07:07.851
271,2007-08-03T17:48:11.236
272,2007-08-04T00:34:25.786
273,2007-08-04T07:12:53.589
274,2007-08-04T13:56:49.843
275,2007-08-04T20:41:55.246
276,2007-08-05T03:27:35.222
277,2007-08-05T16:50:16.566
278,2007-08-05T23:41:07.707
279,2007-08-06T06:20:27.370
280,2007-08-07T02:30:49.699
281,2007-08-07T09:12:00.000
282,2007-08-07T15:52:04.609
283,2007-08-07T22:36:35.438
284,2007-08-08T05:28:01.152
285,2007-08-08T12:04:27.947
286,2007-08-08T18:46:57.767
287,2007-08-09T08:14:15.702
288,2007-08-09T14:58:46.530
289,2007-08-09T21:40:41.776
290,2007-08-10T04:35:00.360
291,2007-08-10T11:06:39.898
292,2007-08-10T17:50:28.846
293,2007-08-11T00:37:50.951
294,2007-08-11T07:23:23.744
295,2007-08-11T13:57:15.576
296,2007-08-11T20:42:15.576
297,2007-08-12T03:28:33.461
298,2007-08-12T10:10:05.769
299,2007-08-12T16:52:55.961
300,2007-08-12T23:33:10.384
301,2007-08-13T06:22:04.038
302,2007-08-13T13:03:36.346
303,2007-08-13T19:45:08.653
304,2007-08-14T02:33:36.346
305,2007-08-14T09:19:28.269
306,2007-08-14T15:56:40.961
307,2007-08-14T22:36:55.384
308,2007-08-15T05:27:58.846
309,2007-08-15T12:05:37.500
310,2007-08-15T18:43:42.115
311,2007-08-16T01:27:50.192
312,2007-08-16T08:20:11.538
313,2007-08-16T15:00:25.961
314,2007-08-16T21:38:30.576
315,2007-08-17T04:27:24.230
316,2007-08-17T11:13:42.115
317,2007-08-17T15:01:22.112
318,2007-08-17T17:48:45.000
319,2007-08-18T00:31:09.230
320,2007-08-18T07:20:02.884
321,2007-08-18T14:07:12.692
322,2007-08-18T20:40:05.769
323,2007-08-19T03:27:41.538
324,2007-08-19T10:18:45.000
325,2007-08-19T16:52:55.961
326,2007-08-19T23:34:28.269
327,2007-08-20T06:24:39.807
328,2007-08-20T13:03:36.346
329,2007-08-20T19:46:26.538
330,2007-08-21T02:31:26.538
331,2007-08-21T09:17:18.461
332,2007-08-21T15:53:13.269
333,2007-08-21T22:40:49.038
334,2007-08-22T05:24:31.153
335,2007-08-22T12:12:32.884
336,2007-08-22T18:45:51.923
337,2007-08-23T01:28:42.115
338,2007-08-23T15:02:09.807
